date,sewage_volume
2014-06-14,356205
2014-06-15,321862
2014-06-16,323833
2014-06-17,331754
2014-06-18,356259
2014-06-19,350275
2014-06-20,352639
2014-06-21,334855
2014-06-22,304340
2014-06-23,333977
2014-06-24,348179
2014-06-25,347290
2014-06-26,349793
2014-06-27,340380
2014-06-28,342808
2014-06-29,314239
2014-06-30,326512
2014-07-01,363670
2014-07-02,364175
2014-07-03,530167
2014-07-04,398586
2014-07-05,362996
2014-07-06,340269
2014-07-07,365456
2014-07-08,456821
2014-07-09,420024
2014-07-10,427415
2014-07-11,393585
2014-07-12,385456
2014-07-13,458611
2014-07-14,411272
2014-07-15,377279
2014-07-16,419659
2014-07-17,469194
2014-07-18,503009
2014-07-19,525559
2014-07-20,478497
2014-07-21,401690
2014-07-22,409521
2014-07-23,391364
2014-07-24,381253
2014-07-25,397364
2014-07-26,397364
2014-07-27,327153
2014-07-28,336724
2014-07-29,362015
2014-07-30,355601
2014-07-31,348215
2014-08-01,326413
2014-08-02,384965
2014-08-03,550158
2014-08-04,543531
2014-08-05,549231
2014-08-06,539040
2014-08-07,515562
2014-08-08,465991
2014-08-09,454554
2014-08-10,430353
2014-08-11,482256
2014-08-12,418615
2014-08-13,404040
2014-08-14,509803
2014-08-15,539568
2014-08-16,543947
2014-08-17,490090
2014-08-18,559827
2014-08-19,573652
2014-08-20,573674
2014-08-21,571504
2014-08-22,555886
2014-08-23,541559
2014-08-24,476940
2014-08-25,557207
2014-08-26,574773
2014-08-27,574577
2014-08-28,551611
2014-08-29,510759
2014-08-30,462578
2014-08-31,414907
2014-09-01,416820
2014-09-02,434386
2014-09-03,499492
2014-09-04,566820
2014-09-05,514811
2014-09-06,486001
2014-09-07,447164
2014-09-08,431856
2014-09-09,405867
2014-09-10,401655
2014-09-11,387307
2014-09-12,402938
2014-09-13,378754
2014-09-14,343703
2014-09-15,361915
2014-09-16,389141
2014-09-17,395221
2014-09-18,397539
2014-09-19,386530
2014-09-20,380497
2014-09-21,345405
2014-09-22,363054
2014-09-23,383228
2014-09-24,554357
2014-09-25,538962
2014-09-26,466205
2014-09-27,436236
2014-09-28,387120
2014-09-29,386845
2014-09-30,413189
2014-10-01,395317
2014-10-02,386383
2014-10-03,392632
2014-10-04,358428
2014-10-05,323005
2014-10-06,343446
2014-10-07,381173
2014-10-08,384123
2014-10-09,385567
2014-10-10,370131
2014-10-11,356629
2014-10-12,333894
2014-10-13,538997
2014-10-14,446789
2014-10-15,394111
2014-10-16,398890
2014-10-17,385889
2014-10-18,382523
2014-10-19,342874
2014-10-20,468546
2014-10-21,493355
2014-10-22,571212
2014-10-23,525930
2014-10-24,470173
2014-10-25,461253
2014-10-26,385829
2014-10-27,381739
2014-10-28,401056
2014-10-29,406464
2014-10-30,386226
2014-10-31,434294
2014-11-01,476405
2014-11-02,389915
2014-11-03,388256
2014-11-04,393242
2014-11-05,391001
2014-11-06,387589
2014-11-07,389438
2014-11-08,373839
2014-11-09,361336
2014-11-10,368379
2014-11-11,368430
2014-11-12,383270
2014-11-13,383623
2014-11-14,383828
2014-11-15,363985
2014-11-16,334185
2014-11-17,352075
2014-11-18,362826
2014-11-19,374302
2014-11-20,364883
2014-11-21,368352
2014-11-22,360795
2014-11-23,343217
2014-11-24,362049
2014-11-25,447911
2014-11-26,413664
2014-11-27,381649
2014-11-28,364229
2014-11-29,368814
2014-11-30,354296
2014-12-01,366550
2014-12-02,341868
2014-12-03,366970
2014-12-04,362758
2014-12-05,347215
2014-12-06,329225
2014-12-07,312418
2014-12-08,338690
2014-12-09,334253
2014-12-10,338506
2014-12-11,346772
2014-12-12,346254
2014-12-13,322868
2014-12-14,294844
2014-12-15,315013
2014-12-16,398751
2014-12-17,341743
2014-12-18,332553
2014-12-19,351025
2014-12-20,428147
2014-12-21,332688
2014-12-22,327022
2014-12-23,359594
2014-12-24,337675
2014-12-25,324900
2014-12-26,327123
2014-12-27,317075
2014-12-28,306137
2014-12-29,315894
2014-12-30,319325
2014-12-31,320936
2015-01-01,300631
2015-01-02,293681
2015-01-03,311973
2015-01-04,298851
2015-01-05,304675
2015-01-06,446451
2015-01-07,345799
2015-01-08,334776
2015-01-09,341557
2015-01-10,331183
2015-01-11,308080
2015-01-12,312641
2015-01-13,321139
2015-01-14,341739
2015-01-15,376407
2015-01-16,334787
2015-01-17,316950
2015-01-18,294732
2015-01-19,306730
2015-01-20,314223
2015-01-21,319581
2015-01-22,375444
2015-01-23,335001
2015-01-24,326843
2015-01-25,300030
2015-01-26,387380
2015-01-27,334899
2015-01-28,321320
2015-01-29,329964
2015-01-30,339648
2015-01-31,325569
2015-02-01,300652
2015-02-02,313807
2015-02-03,322843
2015-02-04,329832
2015-02-05,328771
2015-02-06,326714
2015-02-07,327115
2015-02-08,301287
2015-02-09,306124
2015-02-10,326769
2015-02-11,329091
2015-02-12,323795
2015-02-13,317582
2015-02-14,320698
2015-02-15,294711
2015-02-16,410661
2015-02-17,379435
2015-02-18,325621
2015-02-19,273038
2015-02-20,267947
2015-02-21,331037
2015-02-22,369381
2015-02-23,308106
2015-02-24,324398
2015-02-25,317960
2015-02-26,322036
2015-02-27,320418
2015-02-28,327945
2015-03-01,373008
2015-03-02,315576
2015-03-03,391924
2015-03-04,352097
2015-03-05,337947
2015-03-06,327580
2015-03-07,324695
2015-03-08,302641
2015-03-09,307974
2015-03-10,318222
2015-03-11,322389
2015-03-12,318470
2015-03-13,330705
2015-03-14,344874
2015-03-15,290319
2015-03-16,303864
2015-03-17,331369
2015-03-18,430463
2015-03-19,494371
2015-03-20,401753
2015-03-21,376420
2015-03-22,333171
2015-03-23,325474
2015-03-24,337741
2015-03-25,337201
2015-03-26,339866
2015-03-27,330374
2015-03-28,337741
2015-03-29,313000
2015-03-30,312071
2015-03-31,359193
2015-04-01,346449
2015-04-02,343574
2015-04-03,484859
2015-04-04,410851
2015-04-05,430517
2015-04-06,427183
2015-04-07,443860
2015-04-08,448792
2015-04-09,419090
2015-04-10,409923
2015-04-11,382437
2015-04-12,338982
2015-04-13,438848
2015-04-14,461350
2015-04-15,405228
2015-04-16,380580
2015-04-17,404231
2015-04-18,368524
2015-04-19,499244
2015-04-20,537728
2015-04-21,540303
2015-04-22,518080
2015-04-23,457613
2015-04-24,437965
2015-04-25,383770
2015-04-26,369400
2015-04-27,375929
2015-04-28,393945
2015-04-29,462791
2015-04-30,485917
2015-05-01,401927
2015-05-02,372519
2015-05-03,464516
2015-05-04,592846
2015-05-05,477572
2015-05-06,431175
2015-05-07,409573
2015-05-08,393157
2015-05-09,371147
2015-05-10,342685
2015-05-11,372208
2015-05-12,565232
2015-05-13,549002
2015-05-14,512388
2015-05-15,477779
2015-05-16,435314
2015-05-17,376374
2015-05-18,446662
2015-05-19,519323
2015-05-20,438890
2015-05-21,397296
2015-05-22,402173
2015-05-23,368756
2015-05-24,344243
2015-05-25,355445
2015-05-26,366337
2015-05-27,369111
2015-05-28,360065
2015-05-29,366958
2015-05-30,376884
2015-05-31,335379
2015-06-01,352734
2015-06-02,352797
2015-06-03,355614
2015-06-04,355463
2015-06-05,399298
2015-06-06,368319
2015-06-07,334092
2015-06-08,333271
2015-06-09,357631
2015-06-10,352032
2015-06-11,343319
2015-06-12,349863
2015-06-13,337420
2015-06-14,321114
2015-06-15,334054
2015-06-16,353045
2015-06-17,349100
2015-06-18,339251
2015-06-19,336982
2015-06-20,334057
2015-06-21,322790
2015-06-22,341106
2015-06-23,340461
2015-06-24,349861
2015-06-25,350541
2015-06-26,455344
2015-06-27,390767
2015-06-28,335711
2015-06-29,349032
2015-06-30,398540
2015-07-01,465487
2015-07-02,385488
2015-07-03,380456
2015-07-04,354629
2015-07-05,332980
2015-07-06,349186
2015-07-07,406386
2015-07-08,519209
2015-07-09,542486
2015-07-10,459246
2015-07-11,436838
2015-07-12,449970
2015-07-13,534680
2015-07-14,495484
2015-07-15,486567
2015-07-16,428482
2015-07-17,390284
2015-07-18,381759
2015-07-19,351428
2015-07-20,368779
2015-07-21,408044
2015-07-22,378498
2015-07-23,477537
2015-07-24,491460
2015-07-25,468323
2015-07-26,408757
2015-07-27,400205
2015-07-28,408766
2015-07-29,391732
2015-07-30,376329
2015-07-31,362511
2015-08-01,345593
2015-08-02,313220
2015-08-03,327041
2015-08-04,317846
2015-08-05,323700
2015-08-06,340936
2015-08-07,357157
2015-08-08,339053
2015-08-09,306612
2015-08-10,322821
2015-08-11,345092
2015-08-12,461602
2015-08-13,388727
2015-08-14,352173
2015-08-15,346398
2015-08-16,313322
2015-08-17,363395
2015-08-18,349593
2015-08-19,341629
2015-08-20,370011
2015-08-21,507661
2015-08-22,458849
2015-08-23,374088
2015-08-24,370006
2015-08-25,512935
2015-08-26,505674
2015-08-27,452267
2015-08-28,389312
2015-08-29,379030
2015-08-30,341635
2015-08-31,348387
2015-09-01,476399
2015-09-02,381367
2015-09-03,437987
2015-09-04,404226
2015-09-05,397235
2015-09-06,514977
2015-09-07,433587
2015-09-08,397606
2015-09-09,383832
2015-09-10,367914
2015-09-11,380216
2015-09-12,402592
2015-09-13,364797
2015-09-14,353395
2015-09-15,373192
2015-09-16,386525
2015-09-17,547857
2015-09-18,546184
2015-09-19,480886
2015-09-20,425114
2015-09-21,414849
2015-09-22,406077
2015-09-23,439781
2015-09-24,543500
2015-09-25,511220
2015-09-26,486307
2015-09-27,415630
2015-09-28,381056
2015-09-29,382666
2015-09-30,376374
2015-10-01,516324
2015-10-02,515409
2015-10-03,453127
2015-10-04,383354
2015-10-05,381898
2015-10-06,422675
2015-10-07,403588
2015-10-08,402816
2015-10-09,400786
2015-10-10,384748
2015-10-11,352376
2015-10-12,373433
2015-10-13,385076
2015-10-14,378742
2015-10-15,385057
2015-10-16,381920
2015-10-17,360854
2015-10-18,347366
2015-10-19,361696
2015-10-20,363906
2015-10-21,359324
2015-10-22,330397
2015-10-23,333418
2015-10-24,320254
2015-10-25,304437
2015-10-26,330282
2015-10-27,382074
2015-10-28,338292
2015-10-29,343432
2015-10-30,331660
2015-10-31,315796
2015-11-01,295446
2015-11-02,307648
2015-11-03,324897
2015-11-04,341770
2015-11-05,327040
2015-11-06,331217
2015-11-07,411931
2015-11-08,489078
2015-11-09,458810
2015-11-10,406684
2015-11-11,396013
2015-11-12,372474
2015-11-13,448140
2015-11-14,439020
2015-11-15,363634
2015-11-16,373104
2015-11-17,400312
2015-11-18,399312
2015-11-19,368986
2015-11-20,365028
2015-11-21,350735
2015-11-22,325559
2015-11-23,341653
2015-11-24,353524
2015-11-25,351279
2015-11-26,356518
2015-11-27,351381
2015-11-28,348508
2015-11-29,309155
2015-11-30,333317
2015-12-01,363183
2015-12-02,347700
2015-12-03,328188
2015-12-04,326212
2015-12-05,322088
2015-12-06,301621
2015-12-07,314598
2015-12-08,324745
2015-12-09,331612
2015-12-10,427377
2015-12-11,528207
2015-12-12,396241
2015-12-13,334124
2015-12-14,342518
2015-12-15,356274
2015-12-16,351814
2015-12-17,342478
2015-12-18,340761
2015-12-19,336227
2015-12-20,307612
2015-12-21,372596
2015-12-22,347531
2015-12-23,344807
2015-12-24,349487
2015-12-25,330464
2015-12-26,321285
2015-12-27,306548
2015-12-28,319702
2015-12-29,325187
2015-12-30,319444
2015-12-31,325351
2016-01-01,319717
2016-01-02,315083
2016-01-03,309654
2016-01-04,317236
2016-01-05,329835
2016-01-06,332492
2016-01-07,341406
2016-01-08,338225
2016-01-09,336012
2016-01-10,306079
2016-01-11,318160
2016-01-12,322324
2016-01-13,328473
2016-01-14,331131
2016-01-15,333812
2016-01-16,328608
2016-01-17,364343
2016-01-18,337224
2016-01-19,320679
2016-01-20,314657
2016-01-21,316860
2016-01-22,323222
2016-01-23,336045
2016-01-24,324528
2016-01-25,323919
2016-01-26,343080
2016-01-27,364343
2016-01-28,436200
2016-01-29,562175
2016-01-30,505123
2016-01-31,416403
2016-02-01,371092
2016-02-02,400947
2016-02-03,371976
2016-02-04,377630
2016-02-05,377520
2016-02-06,387825
2016-02-07,380798
2016-02-08,352256
2016-02-09,324743
2016-02-10,351723
2016-02-11,360364
2016-02-12,422197
2016-02-13,530869
2016-02-14,499934
2016-02-15,475574
2016-02-16,444123
2016-02-17,414310
2016-02-18,387661
2016-02-19,382332
2016-02-20,378364
2016-02-21,371092
2016-02-22,566702
2016-02-23,357819
2016-02-24,379565
2016-02-25,392740
2016-02-26,386331
2016-02-27,386649
2016-02-28,372267
2016-02-29,387661
2016-03-01,348678
2016-03-02,355012
2016-03-03,361854
2016-03-04,530811
2016-03-05,530165
2016-03-06,600126
2016-03-07,566702
2016-03-08,523438
2016-03-09,586258
2016-03-10,509435
2016-03-11,474413
2016-03-12,451883
2016-03-13,422067
2016-03-14,429114
2016-03-15,410360
2016-03-16,408342
2016-03-17,401596
2016-03-18,555737
2016-03-19,555984
2016-03-20,492875
2016-03-21,436200
2016-03-22,453388
2016-03-23,427889
2016-03-24,414287
2016-03-25,408566
2016-03-26,432152
2016-03-27,391407
2016-03-28,392490
2016-03-29,395596
2016-03-30,410352
2016-03-31,403081
2016-04-01,403743
2016-04-02,395415
2016-04-03,377631
2016-04-04,391803
2016-04-05,389898
2016-04-06,413904
2016-04-07,595863
2016-04-08,593099
2016-04-09,534427
2016-04-10,452510
2016-04-11,447082
2016-04-12,455914
2016-04-13,524447
2016-04-14,506844
2016-04-15,459232
2016-04-16,480522
2016-04-17,593566
2016-04-18,568436
2016-04-19,536595
2016-04-20,505466
2016-04-21,588839
2016-04-22,591744
2016-04-23,557510
2016-04-24,497989
2016-04-25,467428
2016-04-26,486884
2016-04-27,567114
2016-04-28,614126
2016-04-29,556617
2016-04-30,508119
2016-05-01,477404
2016-05-02,452667
2016-05-03,575029
2016-05-04,608009
2016-05-05,569343
2016-05-06,542081
2016-05-07,503670
2016-05-08,452647
2016-05-09,456869
2016-05-10,559167
2016-05-11,525127
2016-05-12,493039
2016-05-13,483119
2016-05-14,440453
2016-05-15,421770
2016-05-16,546470
2016-05-17,449971
2016-05-18,454516
2016-05-19,441828
2016-05-20,438206
2016-05-21,431808
2016-05-22,404166
2016-05-23,388896
2016-05-24,491502
2016-05-25,507684
2016-05-26,453920
2016-05-27,427094
2016-05-28,408735
2016-05-29,396464
2016-05-30,399338
2016-05-31,397806
2016-06-01,405300
2016-06-02,398653
2016-06-03,396040
2016-06-04,428831
2016-06-05,390501
2016-06-06,413993
2016-06-07,419494
2016-06-08,417647
2016-06-09,418597
2016-06-10,431336
2016-06-11,417896
2016-06-12,436411
2016-06-13,396391
2016-06-14,401408
2016-06-15,417048
2016-06-16,431548
2016-06-17,423592
2016-06-18,416386
2016-06-19,459049
2016-06-20,465643
2016-06-21,511828
2016-06-22,524732
2016-06-23,515701
2016-06-24,572281
2016-06-25,558869
2016-06-26,479167
2016-06-27,440187
2016-06-28,441515
2016-06-29,463989
2016-06-30,452192
2016-07-01,512951
2016-07-02,613853
2016-07-03,628149
2016-07-04,645098
2016-07-05,645849
2016-07-06,631453
2016-07-07,612971
2016-07-08,596353
2016-07-09,566723
2016-07-10,496303
2016-07-11,517335
2016-07-12,529149
2016-07-13,599632
2016-07-14,493329
2016-07-15,479410
2016-07-16,522934
2016-07-17,502197
2016-07-18,483580
2016-07-19,487002
2016-07-20,476615
2016-07-21,475789
2016-07-22,464318
2016-07-23,485649
2016-07-24,455875
2016-07-25,466740
2016-07-26,461566
2016-07-27,452348
2016-07-28,433939
2016-07-29,419470
2016-07-30,403961
2016-07-31,403313
2016-08-01,430535
2016-08-02,474371
2016-08-03,458263
2016-08-04,454800
2016-08-05,445409
2016-08-06,453522
2016-08-07,415342
2016-08-08,432428
2016-08-09,422961
2016-08-10,406027
2016-08-11,417180
2016-08-12,428607
2016-08-13,422710
2016-08-14,402833
2016-08-15,457529
2016-08-16,560844
2016-08-17,489138
2016-08-18,459210
2016-08-19,459750
2016-08-20,453473
2016-08-21,412643
2016-08-22,416670
2016-08-23,431116
2016-08-24,436676
2016-08-25,410946
2016-08-26,391994
2016-08-27,425802
2016-08-28,580240
2016-08-29,568947
2016-08-30,515485
2016-08-31,502835
2016-09-01,484323
2016-09-02,589627
2016-09-03,652793
2016-09-04,632607
2016-09-05,576164
2016-09-06,521049
2016-09-07,514009
2016-09-08,504224
2016-09-09,453938
2016-09-10,477286
2016-09-11,423805
2016-09-12,559146
2016-09-13,485016
2016-09-14,441465
2016-09-15,428335
2016-09-16,431490
2016-09-17,598870
2016-09-18,629117
2016-09-19,594239
2016-09-20,566514
2016-09-21,537429
2016-09-22,513622
2016-09-23,497777
2016-09-24,461484
2016-09-25,427817
2016-09-26,435956
2016-09-27,456336
2016-09-28,530853
2016-09-29,577181
2016-09-30,556624
2016-10-01,572314
2016-10-02,537529
2016-10-03,543435
2016-10-04,536905
2016-10-05,793510
2016-10-06,666818
2016-10-07,562666
2016-10-08,571195
2016-10-09,565032
2016-10-10,549034
2016-10-11,525381
2016-10-12,509517
2016-10-13,498429
2016-10-14,484366
2016-10-15,471442
2016-10-16,462418
2016-10-17,504859
2016-10-18,532138
2016-10-19,507663
2016-10-20,503600
2016-10-21,474069
2016-10-22,455466
2016-10-23,429337
2016-10-24,431891
2016-10-25,437802
2016-10-26,469403
2016-10-27,447604
2016-10-28,484498
2016-10-29,447757
2016-10-30,381314
2016-10-31,390752
2016-11-01,406801
2016-11-02,401923
2016-11-03,400649
2016-11-04,408540
2016-11-05,407458
2016-11-06,367326
2016-11-07,374903
2016-11-08,382120
2016-11-09,398046
2016-11-10,434804
2016-11-11,417151
2016-11-12,395156
2016-11-13,383389
2016-11-14,485794
2016-11-15,415309
2016-11-16,424418
2016-11-17,412396
2016-11-18,432118
2016-11-19,504708
2016-11-20,409366
2016-11-21,414517
2016-11-22,424194
2016-11-23,406152
2016-11-24,409095
2016-11-25,413091
2016-11-26,400597
2016-11-27,371742
2016-11-28,386075
2016-11-29,398402
2016-11-30,434710
2016-12-01,376622
2016-12-02,370389
2016-12-03,400118
2016-12-04,368790
2016-12-05,365939
2016-12-06,424360
2016-12-07,406113
2016-12-08,403996
2016-12-09,403725
2016-12-10,401192
2016-12-11,366952
2016-12-12,382714
2016-12-13,400586
2016-12-14,408160
2016-12-15,395294
2016-12-16,379292
2016-12-17,392469
2016-12-18,365594
2016-12-19,414523
2016-12-20,464071
2016-12-21,387982
2016-12-22,543470
2016-12-23,542731
2016-12-24,480829
2016-12-25,436779
2016-12-26,445929
2016-12-27,458205
2016-12-28,407972
2016-12-29,381770
2016-12-30,431642
2016-12-31,397368
2017-01-01,420915
2017-01-02,414156
2017-01-03,414723
2017-01-04,448443
2017-01-05,432046
2017-01-06,406697
2017-01-07,404658
2017-01-08,440785
2017-01-09,392873
2017-01-10,405323
2017-01-11,418098
2017-01-12,406221
2017-01-13,425472
2017-01-14,384190
2017-01-15,390222
2017-01-16,400838
2017-01-17,422047
2017-01-18,401631
2017-01-19,408296
2017-01-20,388992
2017-01-21,411691
2017-01-22,362346
2017-01-23,388357
2017-01-24,404140
2017-01-25,407613
2017-01-26,408754
2017-01-27,387090
2017-01-28,372767
2017-01-29,399927
2017-01-30,380884
2017-01-31,386348
2017-02-01,390541
2017-02-02,397173
2017-02-03,398742
2017-02-04,391610
2017-02-05,466591
2017-02-06,402419
2017-02-07,391254
2017-02-08,396004
2017-02-09,385991
2017-02-10,373004
2017-02-11,368335
2017-02-12,339438
2017-02-13,353423
2017-02-14,365564
2017-02-15,382517
2017-02-16,378995
2017-02-17,438324
2017-02-18,404142
2017-02-19,362242
2017-02-20,378783
2017-02-21,400078
2017-02-22,420393
2017-02-23,490348
2017-02-24,409662
2017-02-25,415277
2017-02-26,373965
2017-02-27,379194
2017-02-28,390925
2017-03-01,404925
2017-03-02,514427
2017-03-03,419883
2017-03-04,403027
2017-03-05,417372
2017-03-06,404443
2017-03-07,419805
2017-03-08,412813
2017-03-09,411830
2017-03-10,394334
2017-03-11,382082
2017-03-12,381194
2017-03-13,395111
2017-03-14,393738
2017-03-15,399152
2017-03-16,397611
2017-03-17,412547
2017-03-18,382419
2017-03-19,363012
2017-03-20,381311
2017-03-21,441317
2017-03-22,392550
2017-03-23,386824
2017-03-24,374390
2017-03-25,394317
2017-03-26,422361
2017-03-27,401533
2017-03-28,392358
2017-03-29,404703
2017-03-30,383326
2017-03-31,364831
2017-04-01,392205
2017-04-02,363551
2017-04-03,376644
2017-04-04,372323
2017-04-05,410849
2017-04-06,516076
2017-04-07,514816
2017-04-08,465017
2017-04-09,434862
2017-04-10,422582
2017-04-11,527103
2017-04-12,476185
2017-04-13,453651
2017-04-14,443572
2017-04-15,426763
2017-04-16,401470
2017-04-17,460900
2017-04-18,493301
2017-04-19,510159
2017-04-20,451176
2017-04-21,439799
2017-04-22,435972
2017-04-23,395987
2017-04-24,384692
2017-04-25,408916
2017-04-26,458208
2017-04-27,471841
2017-04-28,412523
2017-04-29,414384
2017-04-30,380203
2017-05-01,371846
2017-05-02,374922
2017-05-03,378974
2017-05-04,383936
2017-05-05,404704
2017-05-06,388915
2017-05-07,355518
2017-05-08,368831
2017-05-09,439115
2017-05-10,452135
2017-05-11,428652
2017-05-12,449299
2017-05-13,448474
2017-05-14,387165
2017-05-15,400496
2017-05-16,408584
2017-05-17,398466
2017-05-18,395366
2017-05-19,393257
2017-05-20,394579
2017-05-21,373488
2017-05-22,374756
2017-05-23,395935
2017-05-24,401424
2017-05-25,396623
2017-05-26,383541
2017-05-27,376607
2017-05-28,363138
2017-05-29,369152
2017-05-30,380193
2017-05-31,368545
2017-06-01,391375
2017-06-02,389008
2017-06-03,368191
2017-06-04,346676
2017-06-05,347783
2017-06-06,365961
2017-06-07,458605
2017-06-08,399548
2017-06-09,384598
2017-06-10,368569
2017-06-11,335642
2017-06-12,347030
2017-06-13,370963
2017-06-14,384632
2017-06-15,386346
2017-06-16,369156
2017-06-17,375771
2017-06-18,363130
2017-06-19,360467
2017-06-20,398376
2017-06-21,437848
2017-06-22,387382
2017-06-23,396413
2017-06-24,388233
2017-06-25,365393
2017-06-26,371782
2017-06-27,367974
2017-06-28,384831
2017-06-29,400567
2017-06-30,491287
2017-07-01,392629
2017-07-02,361502
2017-07-03,373760
2017-07-04,513644
2017-07-05,486034
2017-07-06,489081
2017-07-07,488944
2017-07-08,485944
2017-07-09,461124
2017-07-10,449782
2017-07-11,473624
2017-07-12,446936
2017-07-13,430645
2017-07-14,427637
2017-07-15,418725
2017-07-16,404364
2017-07-17,416050
2017-07-18,488479
2017-07-19,444339
2017-07-20,415643
2017-07-21,418248
2017-07-22,396900
2017-07-23,377401
2017-07-24,425843
2017-07-25,444360
2017-07-26,446900
2017-07-27,420425
2017-07-28,415996
2017-07-29,391736
2017-07-30,364916
2017-07-31,383488
2017-08-01,407190
2017-08-02,391511
2017-08-03,350863
2017-08-04,366621
2017-08-05,355263
2017-08-06,355849
2017-08-07,380434
2017-08-08,390758
2017-08-09,464192
2017-08-10,478697
2017-08-11,454639
2017-08-12,454085
2017-08-13,417952
2017-08-14,455118
2017-08-15,517124
2017-08-16,500323
2017-08-17,453197
2017-08-18,469066
2017-08-19,458661
2017-08-20,451531
2017-08-21,449578
2017-08-22,458558
2017-08-23,475104
2017-08-24,430962
2017-08-25,419233
2017-08-26,388772
2017-08-27,371960
2017-08-28,375673
2017-08-29,393564
2017-08-30,385241
2017-08-31,385069
2017-09-01,400585
2017-09-02,392877
2017-09-03,383848
2017-09-04,399599
2017-09-05,421082
2017-09-06,440767
2017-09-07,496034
2017-09-08,448737
2017-09-09,430480
2017-09-10,399412
2017-09-11,546756
2017-09-12,576407
2017-09-13,505972
2017-09-14,484991
2017-09-15,434625
2017-09-16,460228
2017-09-17,473669
2017-09-18,478028
2017-09-19,479268
2017-09-20,472373
2017-09-21,473081
2017-09-22,462815
2017-09-23,445705
2017-09-24,435153
2017-09-25,422331
2017-09-26,423108
2017-09-27,462470
2017-09-28,477691
2017-09-29,446055
2017-09-30,419077
2017-10-01,418151
2017-10-02,533726
2017-10-03,502423
2017-10-04,446849
2017-10-05,436418
2017-10-06,473440
2017-10-07,447340
2017-10-08,448630
2017-10-09,446476
2017-10-10,450931
2017-10-11,439866
2017-10-12,438500
2017-10-13,447547
2017-10-14,423613
2017-10-15,431114
2017-10-16,413834
2017-10-17,424136
2017-10-18,435229
2017-10-19,423410
2017-10-20,406979
2017-10-21,409367
2017-10-22,401230
2017-10-23,371958
2017-10-24,383667
2017-10-25,367501
2017-10-26,371469
2017-10-27,374177
2017-10-28,370884
2017-10-29,360267
